14:09:24.314 -> 16.44 Requesting temperatures ... Done!
14:09:26.072 -> 16.38 Requesting temperatures ... Done!
14:09:27.832 -> 16.38 Requesting temperatures ... Done!
14:09:29.558 -> 16.38 Requesting temperatures ... Done!
14:09:31.317 -> 16.38 Requesting temperatures ... Done!
14:09:33.076 -> 16.38 Requesting temperatures ... Done!
14:09:34.801 -> 16.38 Requesting temperatures ... Done!
14:09:36.560 -> 16.38 Requesting temperatures ... Done!
14:09:38.320 -> 16.44 Requesting temperatures ... Done!
14:09:40.079 -> 16.44 Requesting temperatures ... Done!
14:09:41.805 -> 16.50 Requesting temperatures ... Done!
14:09:43.564 -> 16.50 Requesting temperatures ... Done!
14:09:45.323 -> 16.56 Requesting temperatures ... Done!
14:09:47.082 -> 16.63 Requesting temperatures ... Done!
14:09:48.807 -> 16.69 Requesting temperatures ... Done!
14:09:50.566 -> 16.81 Requesting temperatures ... Done!
14:09:52.325 -> 16.88 Requesting temperatures ... Done!
14:09:54.052 -> 17.00 Requesting temperatures ... Done!
14:09:55.844 -> 17.06 Requesting temperatures ... Done!
14:09:57.570 -> 17.19 Requesting temperatures ... Done!
14:09:59.296 -> 17.25 Requesting temperatures ... Done!
14:10:01.022 -> 17.25 Requesting temperatures ... Done!
14:10:02.748 -> 17.25 Requesting temperatures ... Done!
14:10:04.473 -> 17.19 Requesting temperatures ... Done!
14:10:06.199 -> 17.13 Requesting temperatures ... Done!
14:10:07.925 -> 17.06 Requesting temperatures ... Done!
14:10:09.617 -> 16.94 Requesting temperatures ... Done!
14:10:11.376 -> 16.88 Requesting temperatures ... Done!
14:10:13.135 -> 16.81 Requesting temperatures ... Done!
14:10:14.894 -> 16.75 Requesting temperatures ... Done!
14:10:16.620 -> 16.69 Requesting temperatures ... Done!
14:10:18.379 -> 16.63 Requesting temperatures ... Done!
14:10:20.138 -> 16.56 Requesting temperatures ... Done!
14:10:21.897 -> 16.50 Requesting temperatures ... Done!
14:10:23.624 -> 16.50 Requesting temperatures ... Done!
14:10:25.382 -> 16.50 Requesting temperatures ... Done!
14:10:27.141 -> 16.44 Requesting temperatures ... Done!
14:10:28.900 -> 16.44 Requesting temperatures ... Done!
14:10:30.626 -> 16.44 Requesting temperatures ... Done!
14:10:32.385 -> 16.50 Requesting temperatures ... Done!
14:10:34.144 -> 16.50 Requesting temperatures ... Done!
14:10:35.869 -> 16.50 Requesting temperatures ... Done!
14:10:37.629 -> 16.56 Requesting temperatures ... Done!
14:10:39.388 -> 16.63 Requesting temperatures ... Done!
14:10:41.147 -> 16.69 Requesting temperatures ... Done!
14:10:42.873 -> 16.75 Requesting temperatures ... Done!
14:10:44.632 -> 16.81 Requesting temperatures ... Done!
14:10:46.391 -> 16.88 Requesting temperatures ... Done!
14:10:48.150 -> 16.94 Requesting temperatures ... Done!
14:10:49.876 -> 17.06 Requesting temperatures ... Done!
14:10:51.602 -> 17.13 Requesting temperatures ... Done!
14:10:53.328 -> 17.19 Requesting temperatures ... Done!
14:10:55.054 -> 17.25 Requesting temperatures ... Done!
14:10:56.780 -> 17.31 Requesting temperatures ... Done!
14:10:58.506 -> 17.25 Requesting temperatures ... Done!
14:11:00.233 -> 17.25 Requesting temperatures ... Done!
14:11:01.960 -> 17.19 Requesting temperatures ... Done!
14:11:03.685 -> 17.06 Requesting temperatures ... Done!
14:11:05.412 -> 17.00 Requesting temperatures ... Done!
14:11:07.171 -> 16.94 Requesting temperatures ... Done!
14:11:08.930 -> 16.88 Requesting temperatures ... Done!
14:11:10.689 -> 16.75 Requesting temperatures ... Done!
14:11:12.415 -> 16.69 Requesting temperatures ... Done!
14:11:14.174 -> 16.63 Requesting temperatures ... Done!
14:11:15.933 -> 16.50 Requesting temperatures ... Done!
14:11:17.693 -> 16.50 Requesting temperatures ... Done!
14:11:19.419 -> 16.44 Requesting temperatures ... Done!
14:11:21.178 -> 16.38 Requesting temperatures ... Done!
14:11:22.937 -> 16.38 Requesting temperatures ... Done!
14:11:24.664 -> 16.38 Requesting temperatures ... Done!
14:11:26.423 -> 16.38 Requesting temperatures ... Done!
14:11:28.182 -> 16.38 Requesting temperatures ... Done!
14:11:29.941 -> 16.38 Requesting temperatures ... Done!
14:11:31.667 -> 16.38 Requesting temperatures ... Done!
14:11:33.426 -> 16.38 Requesting temperatures ... Done!
14:11:35.185 -> 16.44 Requesting temperatures ... Done!
14:11:36.911 -> 16.50 Requesting temperatures ... Done!
14:11:38.670 -> 16.56 Requesting temperatures ... Done!
14:11:40.430 -> 16.63 Requesting temperatures ... Done!
14:11:42.189 -> 16.63 Requesting temperatures ... Done!
14:11:43.915 -> 16.75 Requesting temperatures ... Done!
14:11:45.674 -> 16.81 Requesting temperatures ... Done!
14:11:47.433 -> 16.88 Requesting temperatures ... Done!
14:11:49.193 -> 17.00 Requesting temperatures ... Done!
14:11:50.952 -> 17.13 Requesting temperatures ... Done!
14:11:52.679 -> 17.19 Requesting temperatures ... Done!
14:11:54.404 -> 17.25 Requesting temperatures ... Done!
14:11:56.130 -> 17.31 Requesting temperatures ... Done!
14:11:57.855 -> 17.25 Requesting temperatures ... Done!
14:11:59.581 -> 17.19 Requesting temperatures ... Done!
14:12:01.307 -> 17.13 Requesting temperatures ... Done!
14:12:03.033 -> 17.06 Requesting temperatures ... Done!
14:12:04.759 -> 17.00 Requesting temperatures ... Done!
14:12:06.518 -> 16.88 Requesting temperatures ... Done!
14:12:08.278 -> 16.81 Requesting temperatures ... Done!
14:12:10.009 -> 16.75 Requesting temperatures ... Done!
14:12:11.769 -> 16.63 Requesting temperatures ... Done!
14:12:13.528 -> 16.56 Requesting temperatures ... Done!
14:12:15.288 -> 16.50 Requesting temperatures ... Done!
14:12:17.013 -> 16.44 Requesting temperatures ... Done!
14:12:18.773 -> 16.38 Requesting temperatures ... Done!
14:12:20.531 -> 16.38 Requesting temperatures ... Done!
14:12:22.258 -> 16.31 Requesting temperatures ... Done!
14:12:24.019 -> 16.31 Requesting temperatures ... Done!
14:12:25.779 -> 16.31 Requesting temperatures ... Done!
14:12:27.538 -> 16.31 Requesting temperatures ... Done!
14:12:29.264 -> 16.31 Requesting temperatures ... Done!
14:12:31.023 -> 16.31 Requesting temperatures ... Done!
14:12:32.782 -> 16.31 Requesting temperatures ... Done!
14:12:34.508 -> 16.38 Requesting temperatures ... Done!
14:12:36.268 -> 16.38 Requesting temperatures ... Done!
14:12:38.027 -> 16.44 Requesting temperatures ... Done!
14:12:39.786 -> 16.50 Requesting temperatures ... Done!
14:12:41.512 -> 16.56 Requesting temperatures ... Done!
14:12:43.271 -> 16.63 Requesting temperatures ... Done!
14:12:45.030 -> 16.75 Requesting temperatures ... Done!
14:12:46.757 -> 16.81 Requesting temperatures ... Done!
14:12:48.516 -> 16.88 Requesting temperatures ... Done!
14:12:50.275 -> 17.00 Requesting temperatures ... Done!
14:12:52.034 -> 17.13 Requesting temperatures ... Done!
14:12:53.760 -> 17.19 Requesting temperatures ... Done!
14:12:55.487 -> 17.25 Requesting temperatures ... Done!
14:12:57.213 -> 17.31 Requesting temperatures ... Done!
14:12:58.938 -> 17.31 Requesting temperatures ... Done!
14:13:00.665 -> 17.25 Requesting temperatures ... Done!
14:13:02.391 -> 17.19 Requesting temperatures ... Done!
14:13:04.116 -> 17.06 Requesting temperatures ... Done!
14:13:05.843 -> 17.00 Requesting temperatures ... Done!
14:13:07.602 -> 16.88 Requesting temperatures ... Done!
14:13:09.361 -> 16.81 Requesting temperatures ... Done!
14:13:11.121 -> 16.69 Requesting temperatures ... Done!
14:13:12.880 -> 16.63 Requesting temperatures ... Done!
14:13:14.606 -> 16.56 Requesting temperatures ... Done!
14:13:16.365 -> 16.50 Requesting temperatures ... Done!
14:13:18.125 -> 16.44 Requesting temperatures ... Done!
14:13:19.851 -> 16.38 Requesting temperatures ... Done!
14:13:21.610 -> 16.31 Requesting temperatures ... Done!
14:13:23.369 -> 16.31 Requesting temperatures ... Done!
14:13:25.129 -> 16.31 Requesting temperatures ... Done!
14:13:26.855 -> 16.31 Requesting temperatures ... Done!
14:13:28.615 -> 16.31 Requesting temperatures ... Done!
14:13:30.374 -> 16.31 Requesting temperatures ... Done!
14:13:32.100 -> 16.31 Requesting temperatures ... Done!
14:13:33.860 -> 16.38 Requesting temperatures ... Done!
14:13:35.620 -> 16.38 Requesting temperatures ... Done!
14:13:37.380 -> 16.44 Requesting temperatures ... Done!
14:13:39.106 -> 16.50 Requesting temperatures ... Done!
14:13:40.865 -> 16.56 Requesting temperatures ... Done!
14:13:42.624 -> 16.63 Requesting temperatures ... Done!
14:13:44.383 -> 16.69 Requesting temperatures ... Done!
14:13:46.109 -> 16.75 Requesting temperatures ... Done!
14:13:47.868 -> 16.81 Requesting temperatures ... Done!
14:13:49.627 -> 16.94 Requesting temperatures ... Done!
14:13:51.353 -> 17.06 Requesting temperatures ... Done!
14:13:53.079 -> 17.13 Requesting temperatures ... Done!
14:13:54.805 -> 17.25 Requesting temperatures ... Done!
14:13:56.531 -> 17.31 Requesting temperatures ... Done!
14:13:58.257 -> 17.38 Requesting temperatures ... Done!
14:13:59.983 -> 17.38 Requesting temperatures ... Done!
14:14:01.709 -> 17.31 Requesting temperatures ... Done!
14:14:03.435 -> 17.19 Requesting temperatures ... Done!
14:14:05.162 -> 17.13 Requesting temperatures ... Done!
14:14:06.888 -> 17.06 Requesting temperatures ... Done!
14:14:08.614 -> 16.94 Requesting temperatures ... Done!
14:14:10.340 -> 16.88 Requesting temperatures ... Done!
14:14:12.100 -> 16.75 Requesting temperatures ... Done!
14:14:13.860 -> 16.69 Requesting temperatures ... Done!
14:14:15.619 -> 16.63 Requesting temperatures ... Done!
14:14:17.345 -> 16.56 Requesting temperatures ... Done!
14:14:19.104 -> 16.50 Requesting temperatures ... Done!
14:14:20.863 -> 16.44 Requesting temperatures ... Done!
14:14:22.590 -> 16.38 Requesting temperatures ... Done!
14:14:24.349 -> 16.38 Requesting temperatures ... Done!
14:14:26.108 -> 16.38 Requesting temperatures ... Done!
14:14:27.867 -> 16.38 Requesting temperatures ... Done!
14:14:29.594 -> 16.38 Requesting temperatures ... Done!
14:14:31.353 -> 16.38 Requesting temperatures ... Done!
14:14:33.112 -> 16.38 Requesting temperatures ... Done!
14:14:34.871 -> 16.44 Requesting temperatures ... Done!
14:14:36.598 -> 16.44 Requesting temperatures ... Done!
14:14:38.357 -> 16.50 Requesting temperatures ... Done!
14:14:40.116 -> 16.56 Requesting temperatures ... Done!
14:14:41.843 -> 16.56 Requesting temperatures ... Done!
14:14:43.602 -> 16.63 Requesting temperatures ... Done!
14:14:45.361 -> 16.75 Requesting temperatures ... Done!
14:14:47.120 -> 16.81 Requesting temperatures ... Done!
14:14:48.846 -> 16.88 Requesting temperatures ... Done!
14:14:50.605 -> 17.00 Requesting temperatures ... Done!
14:14:52.398 -> 17.06 Requesting temperatures ... Done!
14:14:54.091 -> 17.19 Requesting temperatures ... Done!
14:14:55.817 -> 17.25 Requesting temperatures ... Done!
14:14:57.543 -> 17.25 Requesting temperatures ... Done!
14:14:59.269 -> 17.25 Requesting temperatures ... Done!
14:15:00.994 -> 17.19 Requesting temperatures ... Done!
14:15:02.721 -> 17.13 Requesting temperatures ... Done!
14:15:04.447 -> 17.06 Requesting temperatures ... Done!
14:15:06.173 -> 17.00 Requesting temperatures ... Done!
14:15:07.933 -> 16.88 Requesting temperatures ... Done!
14:15:09.692 -> 16.81 Requesting temperatures ... Done!
14:15:11.451 -> 16.75 Requesting temperatures ... Done!
14:15:13.210 -> 16.63 Requesting temperatures ... Done!
14:15:14.936 -> 16.56 Requesting temperatures ... Done!
14:15:16.695 -> 16.50 Requesting temperatures ... Done!
14:15:18.455 -> 16.44 Requesting temperatures ... Done!
14:15:20.215 -> 16.38 Requesting temperatures ... Done!
14:15:21.940 -> 16.38 Requesting temperatures ... Done!
14:15:23.699 -> 16.38 Requesting temperatures ... Done!
14:15:25.458 -> 16.31 Requesting temperatures ... Done!
14:15:27.184 -> 16.31 Requesting temperatures ... Done!
14:15:28.943 -> 16.31 Requesting temperatures ... Done!
14:15:30.703 -> 16.31 Requesting temperatures ... Done!
14:15:32.462 -> 16.38 Requesting temperatures ... Done!
14:15:34.188 -> 16.38 Requesting temperatures ... Done!
14:15:35.946 -> 16.44 Requesting temperatures ... Done!
14:15:37.705 -> 16.44 Requesting temperatures ... Done!
14:15:39.431 -> 16.50 Requesting temperatures ... Done!
14:15:41.190 -> 16.56 Requesting temperatures ... Done!
14:15:42.950 -> 16.63 Requesting temperatures ... Done!
14:15:44.709 -> 16.69 Requesting temperatures ... Done!
14:15:46.435 -> 16.75 Requesting temperatures ... Done!
14:15:48.194 -> 16.88 Requesting temperatures ... Done!
14:15:49.953 -> 16.94 Requesting temperatures ... Done!
14:15:51.685 -> 17.06 Requesting temperatures ... Done!
14:15:53.411 -> 17.19 Requesting temperatures ... Done!
14:15:55.137 -> 17.25 Requesting temperatures ... Done!
14:15:56.864 -> 17.31 Requesting temperatures ... Done!
14:15:58.589 -> 17.31 Requesting temperatures ... Done!
14:16:00.315 -> 17.31 Requesting temperatures ... Done!
14:16:02.041 -> 17.25 Requesting temperatures ... Done!
14:16:03.767 -> 17.19 Requesting temperatures ... Done!
14:16:05.493 -> 17.13 Requesting temperatures ... Done!
14:16:07.219 -> 17.00 Requesting temperatures ... Done!
14:16:08.979 -> 16.94 Requesting temperatures ... Done!
14:16:10.738 -> 16.81 Requesting temperatures ... Done!
14:16:12.497 -> 16.75 Requesting temperatures ... Done!
14:16:14.223 -> 16.63 Requesting temperatures ... Done!
14:16:15.983 -> 16.56 Requesting temperatures ... Done!
14:16:17.742 -> 16.50 Requesting temperatures ... Done!
14:16:19.501 -> 16.44 Requesting temperatures ... Done!
14:16:21.226 -> 16.44 Requesting temperatures ... Done!
14:16:22.986 -> 16.38 Requesting temperatures ... Done!
14:16:24.745 -> 16.38 Requesting temperatures ... Done!
14:16:26.504 -> 16.31 Requesting temperatures ... Done!
14:16:28.230 -> 16.38 Requesting temperatures ... Done!
14:16:29.989 -> 16.31 Requesting temperatures ... Done!
14:16:31.749 -> 16.38 Requesting temperatures ... Done!
14:16:33.474 -> 16.38 Requesting temperatures ... Done!
14:16:35.233 -> 16.44 Requesting temperatures ... Done!
14:16:36.992 -> 16.44 Requesting temperatures ... Done!
14:16:38.751 -> 16.44 Requesting temperatures ... Done!
